node1098,Model name,IntelR XeonR CPU E5-2640 v3 @ 2.60GHz
node1086,Cores per socket,8
node1086,Sockets,2
node1086,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1090,Cores per socket,8
node1090,Sockets,2
node1090,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1091,Cores per socket,8
node1091,Sockets,2
node1091,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1097,Cores per socket,8
node1097,Sockets,2
node1097,Model name,IntelR XeonR CPU E5-2640 v3 @ 2.60GHz
node1101,Cores per socket,8
node1101,Sockets,2
node1101,Model name,IntelR XeonR CPU E5-2640 v3 @ 2.60GHz
node1116,Cores per socket,16
node1116,Sockets,2
node1116,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1092,Cores per socket,8
node1092,Sockets,2
node1092,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1094,Cores per socket,8
node1094,Sockets,2
node1094,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1099,Cores per socket,8
node1099,Sockets,2
node1099,Model name,IntelR XeonR CPU E5-2640 v3 @ 2.60GHz
node1093,Cores per socket,8
node1093,Sockets,2
node1093,Model name,IntelR XeonR CPU E5-2670 0 @ 2.60GHz
node1117,Cores per socket,16
node1117,Sockets,2
node1117,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1122,Cores per socket,16
node1122,Sockets,2
node1122,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1115,Cores per socket,16
node1115,Sockets,2
node1115,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1108,Cores per socket,14
node1108,Sockets,2
node1108,Model name,IntelR XeonR Gold 5120 CPU @ 2.20GHz
node1118,Cores per socket,16
node1118,Sockets,2
node1118,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1110,Cores per socket,14
node1110,Sockets,2
node1110,Model name,IntelR XeonR Gold 5120 CPU @ 2.20GHz
node1107,Cores per socket,14
node1107,Sockets,2
node1107,Model name,IntelR XeonR Gold 5120 CPU @ 2.20GHz
node1121,Cores per socket,16
node1121,Sockets,2
node1121,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1109,Cores per socket,14
node1109,Sockets,2
node1109,Model name,IntelR XeonR Gold 5120 CPU @ 2.20GHz
node1123,Cores per socket,16
node1123,Sockets,2
node1123,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1111,Cores per socket,16
node1111,Sockets,2
node1111,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node1114,Cores per socket,16
node1114,Sockets,2
node1114,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node1112,Cores per socket,16
node1112,Sockets,2
node1112,Model name,IntelR XeonR Gold 6130 CPU @ 2.10GHz
node1124,Cores per socket,16
node1124,Sockets,2
node1124,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1125,Cores per socket,16
node1125,Sockets,2
node1125,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1126,Cores per socket,16
node1126,Sockets,2
node1126,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1130,Cores per socket,16
node1130,Sockets,2
node1130,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1127,Cores per socket,16
node1127,Sockets,2
node1127,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1128,Cores per socket,16
node1128,Sockets,2
node1128,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node1129,Cores per socket,16
node1129,Sockets,2
node1129,Model name,IntelR XeonR Silver 4216 CPU @ 2.10GHz
node113,Cores per socket,8
node113,Sockets,2
node113,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1132,Cores per socket,20
node1132,Sockets,2
node1132,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1131,Cores per socket,20
node1131,Sockets,2
node1131,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1133,Cores per socket,20
node1133,Sockets,2
node1133,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node114,Cores per socket,8
node114,Sockets,2
node114,Model name,IntelR XeonR CPU E5-2650 0 @ 2.00GHz
node1135,Cores per socket,20
node1135,Sockets,2
node1135,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1134,Cores per socket,20
node1134,Sockets,2
node1134,Model name,IntelR XeonR Gold 6230 CPU @ 2.10GHz
node1136,Cores per socket,20
node1136,Sockets,2
